Department name,Degree type,Handle,Browse URL,Year
Biological Engineering,Bachelor's degree,1721.1/7626,https://dspace.mit.edu/handle/1721.1/7626/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Biological Engineering,Engineer's degree,1721.1/7627,https://dspace.mit.edu/handle/1721.1/7627/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Biological Engineering,Master's degree,1721.1/7628,https://dspace.mit.edu/handle/1721.1/7628/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Biological Engineering,Ph.D. / Sc.D.,1721.1/7629,https://dspace.mit.edu/handle/1721.1/7629/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Comparative Media Studies,Master's degree,1721.1/39100,https://dspace.mit.edu/handle/1721.1/39100/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Science Writing,Master's degree,1721.1/106909,https://dspace.mit.edu/handle/1721.1/106909/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Computation for Design and Optimization,Master's degree,1721.1/39115,https://dspace.mit.edu/handle/1721.1/39115/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Computational and Systems Biology,Master's degree,1721.1/72923,https://dspace.mit.edu/handle/1721.1/72923/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Computational and Systems Biology,Ph.D. / Sc.D.,1721.1/54823,https://dspace.mit.edu/handle/1721.1/54823/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Aeronautics and Astronautics,Bachelor's degree,1721.1/7630,https://dspace.mit.edu/handle/1721.1/7630/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
Aeronautics and Astronautics,Engineer's degree,1721.1/7744,https://dspace.mit.edu/handle/1721.1/7744/browse?rpp=100&sort_by=2&type=dateissued&etal=-1&order=ASC&year=1960&starts_with=&submit=Go,
